movieId,tag
118997,comedy
118997,fairy tale
118997,funny
118997,imaginative
118997,meryl streep
118997,musical
134853,coming of age
134853,creative
134853,happiness
134853,imaginative
134853,Pixar
40614,predictable
260,coming of age
111,cult film
111,Martin Scorsese
247,stylized
247,surreal
247,surrealism
247,visceral
745,animation
1079,dark comedy
1079,dark humor
1079,John Cleese
1079,quirky
1080,Monty Python
1089,nonlinear
1089,organized crime
1219,psychology
1256,Marx Brothers
1258,cult film
1258,psychology
1729,dark comedy
2288,disturbing
2529,twist ending
3030,atmospheric
3546,insanity
5618,atmospheric
5618,surreal
5662,Dave Foley
6287,Adam Sandler
6713,Satoshi Kon
8188,elegant
27592,stylized
27592,violent
27773,depressing
27773,disturbing
27773,hallucinatory
27773,paranoid
27773,revenge
27773,stylized
27773,twist ending
27773,vengeance
30745,Takashi Miike
31658,Studio Ghibli
52885,anime
55820,coen brothers
58559,Batman
67997,british
67997,politics
67997,satire
5,steve martin
150,tom hanks
186,hugh grant
215,ethan hawke
236,meg ryan
246,school
260,classic
300,Ralph Fiennes
318,Phenomenal!
337,Johnny Depp***
350,overrated
357,didn't get it
377,Sandra Bullock
520,very funny!
529,jodi foster
587,sweet
628,edward norton
661,creepy good
904,jimmy stewart
1059,claire daines
1059,clever
1059,shakespeare
1250,war
1259,r. phoneix
1291,cool
1635,moody
1639,hillarious
1954,stallone
1956,il
1956,lake forest
2019,classic
2085,cute
2174,Micheal Keaton
2369,must see
2396,colin firth
2396,Gwenth Paltrow
2396,joseph fiennes
2571,philosophy
2700,stupidity
3052,controversial
3113,stupid
3114,Tom Hanks
3260,boring
3361,tim robbins
3751,mel gibson
3785,stupid
3893,renee z
3978,boring
3994,predictable
4016,okay
4041,overrated
4306,witty!
4351,keanu reeves
4641,thora birch
4701,jakie chan
4823,john cusack
4890,Gwenth Paltrow
5064,not by book
5135,nair
5349,tobey maguire
5377,books
5377,relationships
5481,mike myers
5812,moore
6281,collin farrel
65514,kung fu
65514,martial arts
65514,well done
68954,feel good
68954,light
88125,dark
260,sci-fi
107649,magical realism
107649,weird
3703,action
3703,desert
3703,Dieselpunk
3703,Mel Gibson
44191,dystopia
106473,animation
106473,anime
106473,fantasy world
5449,Adam Sandler
55247,adventure
55247,freedom
55247,road trip
55247,self discovery
55247,travel
106918,Iceland
106918,photography
106918,travel
8369,who done it
70286,aliens
70286,humor
70286,sci-fi
70286,violence
78349,claustrophobic
78349,experiment
78349,psychological
94777,aliens
94777,franchise
94777,funny
94777,time travel
260,George Lucas
260,starwars
1900,sad
1900,siblings
2361,cult film
117533,big brother
117533,documentary
117533,privacy
1,Pixar
47,psychology
47,twist ending
296,dark comedy
778,dark comedy
1089,organized crime
2542,dark comedy
2542,Guy Ritchie
2542,organized crime
2692,nonlinear
2692,time travel
2959,dark comedy
2959,psychology
2959,twist ending
3114,animation
3949,addiction
3949,psychology
4011,Guy Ritchie
4011,twist ending
5608,psychology
40148,guy ritchie
60072,assassin
62849,Drugs
62849,Guy Ritchie
62849,twist ending
74458,psychological
74458,twist ending
77455,renegade art
78499,Pixar
260,Science Fiction
260,space
79132,Intrigued
4322,baseball
1028,Disney
1028,Disney studios
1028,Julie Andrews
1028,multiple roles
1028,musical
1088,80's classic
1088,dance
1088,girlie movie
1088,music
1088,rich families
1258,disturbing
1258,psychological
1258,violent
1997,demons
1997,horror
1997,possession
1997,scary
2942,dance
2942,girlie movie
2942,strippers
4973,comedy
4973,drama
4973,quirky
6218,football
6218,Funny
6218,Keira Knightley
6218,love
6863,funny
6863,Jack Black
6863,music
6863,Rock
6863,rock and roll
6942,british
6942,christmas
6942,ensemble cast
6942,Keira Knightley
6942,love
6942,Romance
8533,memories
35836,comedy
35836,crude
35836,funny
35836,nerds
35836,sex
45720,fashion
45720,New York
45720,Paris
59725,fashion
59725,New York City
59725,romance
63131,funny
63131,obvious plot
63992,romance
63992,Teen movie
63992,vampires
64957,Brad Pitt
64957,cinematography
64957,drama
64969,funny
64969,Jim carrey
64969,Zooey Deschanel
3176,Gwyneth Paltrow
3176,Jude Law
3707,Nudity (Rear)
3707,sexy food
5984,BDSM
5984,Blindfold
5984,Bondage
5984,Domination
5984,Fetish
5984,Gag
5984,Spanked
5984,Submission
5984,Tied
5984,Udo Kier
39421,porn
48780,based on a book
48780,twist ending
53318,notable nudity
541,afi
599,dvd
757,getdvd
954,afi
1153,tcm
1232,sightsound
1260,tcm
1281,tivo
1283,afi
1283,hdtv
1572,sightsound
2028,afi
2028,hdtv
2182,tcm
2730,getdvd
2747,tivo
2920,getdvd
2936,afi
3022,afi
3415,sightsound
3539,tivo
3629,afi
3629,hdtv
3634,getdvd
3742,sightsound
4763,getdvd
5169,tcm
5289,tcm
5795,tosee
5956,dvd
6433,sightsound
6515,tcm
6643,sightsound
6783,sightsound
6830,tcm
6981,sightsound
6985,sightsound
7195,tcm
7243,afi
7243,hdtv
7335,tcm
7926,getdvd
8125,afi
8195,sightsound
8236,tcm
8494,dvd
8584,tivo
8751,tcm
8765,tcm
8766,tcm
8767,tcm
25805,sightsound
25927,tcm
26150,sightsound
26151,sightsound
31770,tcm
34517,tivo
41585,tcm
41997,hdtv
42217,sightsound
46664,tcm
48394,hdtv
52281,hdtv
52579,getdvd
53953,getdvd
55363,getdvd
55946,tivo
56015,tcm
67665,getdvd
72176,tivo
72741,tivo
77455,getdvd
81786,getdvd
82313,tivo
94969,getdvd
95761,dvd
96417,dvd
96610,dvd
96832,dvd
101285,getdvd
102469,getdvd
103449,dvd
103688,dvd
107636,tivo
110871,getdvd
111249,getdvd
111251,dvd
111505,getdvd
112070,tivo
112515,getdvd
112550,getdvd
113064,getdvd
114254,getdvd
114459,getdvd
115139,tcm
117533,dvd
117533,getdvd
118700,getdvd
118880,getdvd
122882,getdvd
123663,tivo
123695,tivo
127108,tivo
127144,tivo
127206,getdvd
127212,tivo
128235,tivo
128512,getdvd
131796,tivo
132458,tivo
132547,dvd
132549,tivo
132800,getdvd
133771,getdvd
134859,getdvd
139642,tivo
140715,tivo
140725,tivo
144172,bkk
148482,tivo
155064,bkk
158783,bkk
160954,bkk
161336,getdvd
161582,bkk
163056,bkk
164977,tivo
164979,tivo
138610,found footage
138610,survival horror
47044,Michael Mann
112552,determination
112552,devotion
112552,music
66203,honest
82152,alex pettyfer
105504,hijacking
105504,ocean
105504,pirates
105504,suspense
111384,revenge
111384,vengeance
111931,femme-fatale
111931,gritty
111931,low-budget
260,classic sci-fi
260,series
146501,gay
260,script
135518,meaning of life
135518,philosophical
135518,sci-fi
260,action
260,Syfy
